ROUTE,DAY,DELAY
ATL-DHN,WED,45.38888889
ATL-DHN,THU,56.93333333
ATL-DHN,FRI,52.23809524
ATL-DHN,SAT,54.83333333
ATL-DSM,SUN,37.71428571
ATL-DSM,MON,56.65217391
ATL-DSM,TUE,87.21052632
ATL-DSM,WED,41.66666667
ATL-DSM,THU,58.625
ATL-DSM,FRI,49.375
ATL-DSM,SAT,34.85714286
ATL-DTW,SUN,48.69369369
ATL-DTW,MON,60.31914894
ATL-DTW,TUE,62.85106383
ATL-DTW,WED,63.37068966
ATL-DTW,THU,51.29411765
ATL-DTW,FRI,42.30656934
ATL-DTW,SAT,51.43956044
ATL-ECP,SUN,48.36363636
ATL-ECP,MON,66.8372093
ATL-ECP,TUE,60.81081081
ATL-ECP,WED,59.44680851
ATL-ECP,THU,58.71666667
ATL-ECP,FRI,57.19565217
ATL-ECP,SAT,46.11111111
ATL-EGE,SUN,15
ATL-EGE,MON,35
ATL-EGE,TUE,57.33333333
ATL-EGE,WED,26.75
ATL-EGE,THU,52
ATL-EGE,FRI,69
ATL-EGE,SAT,35
ATL-ELM,SUN,29
ATL-ELM,MON,62.5
ATL-ELM,TUE,131
ATL-ELM,WED,54.5
ATL-ELM,FRI,145
ATL-ELM,SAT,52.33333333
ATL-ELP,SUN,58
ATL-ELP,MON,48.13333333
ATL-ELP,TUE,50.17647059
ATL-ELP,WED,42.05
ATL-ELP,THU,74.68181818
ATL-ELP,FRI,46.26666667
ATL-ELP,SAT,55.8
ATL-EVV,SUN,53.5862069
ATL-EVV,MON,79.21428571
ATL-EVV,TUE,65.76
ATL-EVV,WED,71.2
ATL-EVV,THU,44.63157895
ATL-EVV,FRI,59.64
ATL-EVV,SAT,41
ATL-EWN,SUN,58.5
ATL-EWN,MON,48.60606061
ATL-EWN,TUE,44.47619048
ATL-EWN,WED,32
ATL-EWN,THU,43.57894737
ATL-EWN,FRI,39.26315789
ATL-EWN,SAT,86.2
ATL-EWR,SUN,77.33962264
ATL-EWR,MON,70.55294118
ATL-EWR,TUE,80.20408163
ATL-EWR,WED,69.35064935
ATL-EWR,THU,64.26027397
ATL-EWR,FRI,68.51111111
ATL-EWR,SAT,62.41860465
ATL-EYW,SUN,69.23809524
ATL-EYW,MON,88.36
ATL-EYW,TUE,102.52
ATL-EYW,WED,70.12820513
ATL-EYW,THU,85.92307692
